InChI,SMILES,Count
ABEHOLUCQFKFQN-LMWOUKEDSA-N,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@]2(CCN3)[C@H](C1)O5,8
ABEHOLUCQFKFQN-NCZKRNLISA-N,C1=C[C@@H]2[C@H]3Cc4cccc5c4[C@]2(CCN3)[C@@H](C1)O5,2
ABEHOLUCQFKFQN-TWJWRFFLSA-O,C1=C[C@@H]2[C@@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@H](C1)O5,2
ABEHOLUCQFKFQN-UNIGVISCSA-N,C1=C[C@@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5,6
ABEHOLUCQFKFQN-UNIGVISCSA-O,C1=C[C@@H]2[C@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@H](C1)O5,2
ABEHOLUCQFKFQN-ZNEHSRBWSA-N,C1=C[C@@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@@H](C1)O5,16
ABEHOLUCQFKFQN-ZNEHSRBWSA-O,C1=C[C@@H]2[C@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@@H](C1)O5,8
ABFWTHSIMYBJCE-UHFFFAOYSA-N,C1NCNc2nonc2N1,2
ABFZKCLJBYEDOE-UHFFFAOYSA-N,N=C1C=CC(=C2N=CNO2)C=C1,6
ABGDDRQSRDQIRA-UHFFFAOYSA-N,C=C1C=NNC1=N,6
ABINYRGLTUOMDW-MRVPVSSYSA-N,O=C1NC2(CC2)C(=O)N2CCc3nc[nH]c3[C@H]12,2
ABINYRGLTUOMDW-QMMMGPOBSA-N,O=C1NC2(CC2)C(=O)N2CCc3nc[nH]c3[C@@H]12,2
ABIVRLRIGJRUGF-UHFFFAOYSA-N,O=c1ccccc2ncccc12,2
ABJBYHXOWASAAA-UHFFFAOYSA-N,c1cc2c(ccc3nonc32)o1,2
ABJFBJGGLJVMAQ-UHFFFAOYSA-N,O=c1[nH]c2ccccc2[nH]c1=O,972742
ABJJQCJCCHVSBV-AAEUAGOBSA-N,c1cc2c3c(c4c(nc3c1)C[C@H]1COC[C@H]41)CCC2,2
ABJJQCJCCHVSBV-DGCLKSJQSA-N,c1cc2c3c(c4c(nc3c1)C[C@@H]1COC[C@@H]41)CCC2,2
ABJJQCJCCHVSBV-WCQYABFASA-N,c1cc2c3c(c4c(nc3c1)C[C@H]1COC[C@@H]41)CCC2,2
